file_path,file_size,chunk_size,read_count,write_count,avg_read_size,avg_write_size,max_read_size,max_write_size,throughput_mbps,timestamp
/data/file_0.dat,535944294,262144,824,275,272544,536452,718864,1248771,235.035714141271,2025-04-13 19:51:37.090624
/data/file_1.dat,200949171,524288,21,328,535729,645307,535729,1887454,242.3689043406206,2025-04-13 19:52:37.090624
/data/file_2.dat,863109980,131072,327,281,164468,404607,1991173,1881425,198.62810037593798,2025-04-13 19:53:37.090624
/data/file_3.dat,788894990,131072,601,145,945859,438472,1818169,1554367,303.90431750804123,2025-04-13 19:54:37.090624
/data/file_4.dat,997454954,131072,225,474,95102,15486,103748,1331365,432.7585376068022,2025-04-13 19:55:37.090624
/data/file_5.dat,128570439,131072,348,279,1010153,635136,1906075,1730942,140.68777010284077,2025-04-13 19:56:37.090624
/data/file_6.dat,424783548,1048576,785,294,936952,941731,1213757,1730391,470.4948674390486,2025-04-13 19:57:37.090624
/data/file_7.dat,417016852,131072,670,338,133446,360994,1381032,610174,360.08944418670336,2025-04-13 19:58:37.090624
/data/file_8.dat,671143526,1048576,90,385,692821,342209,692821,1596791,420.4729457060136,2025-04-13 19:59:37.090624
/data/file_9.dat,842143865,1048576,736,456,809974,674494,1563729,941526,300.28581168350524,2025-04-13 20:00:37.090624
/data/file_10.dat,671039954,131072,494,377,792864,973927,1953241,1891093,400.7825156408286,2025-04-13 20:01:37.090624
/data/file_11.dat,430437590,131072,383,56,852560,753174,852560,753174,57.290178802760245,2025-04-13 20:02:37.090624
/data/file_12.dat,250515786,262144,985,498,210583,343304,1577384,921630,418.27119115079086,2025-04-13 20:03:37.090624
/data/file_13.dat,899765706,524288,719,31,101948,25377,1464240,753014,68.06248658841494,2025-04-13 20:04:37.090624
/data/file_14.dat,500021335,131072,209,161,496188,58285,1437402,577546,450.46101936328813,2025-04-13 20:05:37.090624
/data/file_15.dat,360574324,262144,546,243,142689,266189,751280,1812443,496.3832362573895,2025-04-13 20:06:37.090624
/data/file_16.dat,435334243,262144,475,160,731163,314751,731163,314751,182.33035797955003,2025-04-13 20:07:37.090624
/data/file_17.dat,614656871,524288,98,295,682937,650499,1347142,650499,144.64335032860714,2025-04-13 20:08:37.090624
/data/file_18.dat,894713495,1048576,277,140,284714,536989,506874,949437,394.4135137361183,2025-04-13 20:09:37.090624
/data/file_19.dat,649109634,131072,664,148,181928,366558,181928,1853892,163.86185341411397,2025-04-13 20:10:37.090624
/data/file_20.dat,89458325,524288,580,110,846246,398693,1102601,2021567,439.50307242749153,2025-04-13 20:11:37.090624
/data/file_21.dat,243334452,131072,931,424,310869,988234,817249,988234,96.27916647086451,2025-04-13 20:12:37.090624
/data/file_22.dat,945554177,262144,498,162,49328,810338,564568,1221897,106.67983837071122,2025-04-13 20:13:37.090624
/data/file_23.dat,954526039,262144,886,150,352784,253511,1791778,599463,490.618199795277,2025-04-13 20:14:37.090624
/data/file_24.dat,355137003,1048576,547,6,464481,683778,2015439,1731711,353.2275042215021,2025-04-13 20:15:37.090624
/data/file_25.dat,810876317,262144,56,437,787397,45965,1422849,162029,431.09925099302876,2025-04-13 20:16:37.090624
/data/file_26.dat,913038117,262144,297,81,316909,561339,1521275,722839,195.9482198081831,2025-04-13 20:17:37.090624
/data/file_27.dat,4393345,524288,787,136,213189,589772,1253143,1998178,354.417687284272,2025-04-13 20:18:37.090624
/data/file_28.dat,781980863,131072,25,94,1030753,769708,1030753,915371,317.40882228886875,2025-04-13 20:19:37.090624
/data/file_29.dat,1041339323,131072,720,349,335424,14303,1407141,879727,321.41755405532615,2025-04-13 20:20:37.090624
/data/file_30.dat,788764948,524288,410,354,707401,222497,1191957,1791803,357.1396067919747,2025-04-13 20:21:37.090624
/data/file_31.dat,505627808,1048576,928,463,17236,989228,1671321,989228,308.9116279080944,2025-04-13 20:22:37.090624
/data/file_32.dat,234017227,131072,803,267,392708,163388,530346,1750358,243.07806618619966,2025-04-13 20:23:37.090624
/data/file_33.dat,480595257,262144,990,355,611841,481362,630198,1043600,174.1652124712461,2025-04-13 20:24:37.090624
/data/file_34.dat,107376661,131072,95,112,542741,500858,1379622,1469504,395.8615989109409,2025-04-13 20:25:37.090624
/data/file_35.dat,31398140,262144,259,78,527471,209253,1020122,486646,151.8225935014338,2025-04-13 20:26:37.090624
/data/file_36.dat,782496491,1048576,400,43,115768,26127,1675932,1501918,361.5594377694864,2025-04-13 20:27:37.090624
/data/file_37.dat,100100952,524288,791,401,334913,468033,992750,1344478,154.999770192197,2025-04-13 20:28:37.090624
/data/file_38.dat,178126384,131072,344,163,650057,871335,1087717,871335,331.39857647950424,2025-04-13 20:29:37.090624
/data/file_39.dat,107454938,524288,638,75,594017,599696,1996819,599696,386.185220208063,2025-04-13 20:30:37.090624
/data/file_40.dat,481453114,131072,528,451,736399,588150,1794010,1480118,148.42125000794266,2025-04-13 20:31:37.090624
/data/file_41.dat,644696574,262144,146,316,624495,147617,862760,1460329,76.97448538758873,2025-04-13 20:32:37.090624
/data/file_42.dat,600170153,524288,892,245,868786,356073,1168309,784564,108.93818434737834,2025-04-13 20:33:37.090624
/data/file_43.dat,201476095,131072,697,430,410236,191867,2091155,653495,322.69863527196145,2025-04-13 20:34:37.090624
/data/file_44.dat,182058459,262144,849,449,73382,241295,1776747,241295,432.250882801581,2025-04-13 20:35:37.090624
/data/file_45.dat,962071227,524288,507,302,97365,1002853,97365,1827592,70.24856955594096,2025-04-13 20:36:37.090624
/data/file_46.dat,500818895,524288,836,444,262731,765115,496211,1280789,380.3680665687408,2025-04-13 20:37:37.090624
/data/file_47.dat,1000793870,131072,736,40,78167,764225,1289698,1712012,203.59339067752344,2025-04-13 20:38:37.090624
/data/file_48.dat,886112445,131072,486,88,454638,639425,454638,1651800,265.3377664637851,2025-04-13 20:39:37.090624
/data/file_49.dat,390200253,131072,603,456,225191,644569,679745,644569,467.9867974305045,2025-04-13 20:40:37.090624
/data/file_50.dat,152128174,262144,232,378,517413,181260,1349021,1565201,199.38717713113047,2025-04-13 20:41:37.090624
/data/file_51.dat,509512637,131072,999,267,34747,460983,138548,953714,259.4016202727687,2025-04-13 20:42:37.090624
/data/file_52.dat,858640946,524288,381,314,74298,538734,1993505,538734,56.157086642306496,2025-04-13 20:43:37.090624
/data/file_53.dat,569968491,524288,944,389,52873,755614,777109,840615,86.71942400217726,2025-04-13 20:44:37.090624
/data/file_54.dat,62185014,131072,411,176,152162,891387,745282,891387,166.3662160106528,2025-04-13 20:45:37.090624
/data/file_55.dat,1002767603,131072,452,380,857791,517409,922757,1668494,62.533508369483485,2025-04-13 20:46:37.090624
/data/file_56.dat,397966143,1048576,499,177,194802,1046822,1746638,1046822,334.11889672171293,2025-04-13 20:47:37.090624
/data/file_57.dat,932038136,524288,624,366,628542,789954,795930,1721614,241.87926056073013,2025-04-13 20:48:37.090624
/data/file_58.dat,200551554,262144,282,51,801328,72583,1060617,178126,296.66534122760993,2025-04-13 20:49:37.090624
/data/file_59.dat,473239012,1048576,535,383,828351,152790,828351,1833790,128.5912336533483,2025-04-13 20:50:37.090624
/data/file_60.dat,462950194,131072,168,145,768031,127949,768031,1639926,183.16941324647726,2025-04-13 20:51:37.090624
/data/file_61.dat,775463558,131072,161,379,330118,991863,785759,1143462,348.7210136837263,2025-04-13 20:52:37.090624
/data/file_62.dat,733444116,524288,629,410,284948,319357,627247,319357,484.38622563367994,2025-04-13 20:53:37.090624
/data/file_63.dat,862186312,131072,197,122,672275,239158,672275,838480,72.68754812099414,2025-04-13 20:54:37.090624
/data/file_64.dat,280443046,262144,822,281,734361,455706,1757928,455706,450.67294438486977,2025-04-13 20:55:37.090624
